label,message
1,"Crédito aprobado de $50,000. Solicita ahora sin requisitos."
1,Baja 10 kg en 2 semanas sin esfuerzo. Compra ahora: www.dieta-milagro.com
0,¿Vienes al cine esta noche? Hay una película interesante.
1,Haz clic en este enlace y descubre tu sorpresa secreta.
1,Recarga tu saldo y recibe el doble de crédito. Solo por hoy.
1,Gana dinero fácil desde casa sin esfuerzo. Consulta aquí.
0,"Hoy tenemos clase de matemáticas a las 3 PM, no olvides el libro."
1,Tu cuenta ha sido bloqueada. Verifica tus datos aquí: phishing.com
1,Recarga tu saldo y recibe el doble de crédito. Solo por hoy.
1,Haz clic en este enlace y descubre tu sorpresa secreta.
0,"Te envié el archivo por correo, revísalo cuando puedas."
0,"Te envié el archivo por correo, revísalo cuando puedas."
0,Recuerda que tienes una cita con el doctor el viernes a las 3 PM.
0,"Hoy tenemos clase de matemáticas a las 3 PM, no olvides el libro."
1,¡Gana un iPhone 14 ahora! Solo responde con 'SÍ' y participa.
0,"Hoy tenemos clase de matemáticas a las 3 PM, no olvides el libro."
0,"Mañana es el partido de fútbol, nos vemos en la cancha a las 7 PM."
1,No pagues más intereses. Te reducimos la deuda sin costo.
0,"Mañana es el partido de fútbol, nos vemos en la cancha a las 7 PM."
0,¿Vienes al cine esta noche? Hay una película interesante.
1,No pagues más intereses. Te reducimos la deuda sin costo.
0,Reunión confirmada para mañana a las 10 AM en la oficina.
1,No pagues más intereses. Te reducimos la deuda sin costo.
0,"Feliz cumpleaños, amigo. Espero que tengas un día increíble."
0,"Te envié el archivo por correo, revísalo cuando puedas."
0,Reunión confirmada para mañana a las 10 AM en la oficina.
0,Recuerda que tienes una cita con el doctor el viernes a las 3 PM.
0,"Mamá, ¿puedo pasar a verte esta tarde?"
0,"Mañana es el partido de fútbol, nos vemos en la cancha a las 7 PM."
0,"Te envié el archivo por correo, revísalo cuando puedas."
0,"Hola, ¿cómo estás? Hace tiempo que no hablamos."
1,Haz clic en este enlace y descubre tu sorpresa secreta.
0,"Mañana es el partido de fútbol, nos vemos en la cancha a las 7 PM."
0,Reunión confirmada para mañana a las 10 AM en la oficina.
0,¿Vienes al cine esta noche? Hay una película interesante.
0,"Hoy tenemos clase de matemáticas a las 3 PM, no olvides el libro."
0,¿Vienes al cine esta noche? Hay una película interesante.
1,Tu cuenta ha sido bloqueada. Verifica tus datos aquí: phishing.com
0,"Mañana es el partido de fútbol, nos vemos en la cancha a las 7 PM."
1,Recarga tu saldo y recibe el doble de crédito. Solo por hoy.
0,Reunión confirmada para mañana a las 10 AM en la oficina.
1,Eres el ganador de un premio sorpresa. Reclámalo aquí: www.premiosfalsos.com
0,"Mamá, ¿puedo pasar a verte esta tarde?"
1,Gana dinero fácil desde casa sin esfuerzo. Consulta aquí.
0,¿Vienes al cine esta noche? Hay una película interesante.
0,"Hola, ¿cómo estás? Hace tiempo que no hablamos."
1,Gana dinero fácil desde casa sin esfuerzo. Consulta aquí.
0,"Mamá, ¿puedo pasar a verte esta tarde?"
1,Oferta limitada: Compra 1 y llévate 2 gratis en nuestro sitio web.
1,Oferta limitada: Compra 1 y llévate 2 gratis en nuestro sitio web.
0,"Mamá, ¿puedo pasar a verte esta tarde?"
1,Haz clic en este enlace y descubre tu sorpresa secreta.
1,Tu cuenta ha sido bloqueada. Verifica tus datos aquí: phishing.com
0,Recuerda que tienes una cita con el doctor el viernes a las 3 PM.
1,Haz clic en este enlace y descubre tu sorpresa secreta.
1,Haz clic en este enlace y descubre tu sorpresa secreta.
1,Baja 10 kg en 2 semanas sin esfuerzo. Compra ahora: www.dieta-milagro.com
1,Tu cuenta ha sido bloqueada. Verifica tus datos aquí: phishing.com
1,¡Gana un iPhone 14 ahora! Solo responde con 'SÍ' y participa.
0,"Hola, ¿cómo estás? Hace tiempo que no hablamos."
1,Haz clic en este enlace y descubre tu sorpresa secreta.
1,Haz clic en este enlace y descubre tu sorpresa secreta.
0,"Hola, ¿cómo estás? Hace tiempo que no hablamos."
0,"Hoy tenemos clase de matemáticas a las 3 PM, no olvides el libro."
1,Gana dinero fácil desde casa sin esfuerzo. Consulta aquí.
0,"Mañana es el partido de fútbol, nos vemos en la cancha a las 7 PM."
0,Gracias por tu ayuda en el trabajo. Eres un gran compañero.
0,"Te envié el archivo por correo, revísalo cuando puedas."
0,¿Vienes al cine esta noche? Hay una película interesante.
0,"Mañana es el partido de fútbol, nos vemos en la cancha a las 7 PM."
0,Recuerda que tienes una cita con el doctor el viernes a las 3 PM.
0,"Mañana es el partido de fútbol, nos vemos en la cancha a las 7 PM."
1,Haz clic en este enlace y descubre tu sorpresa secreta.
1,Baja 10 kg en 2 semanas sin esfuerzo. Compra ahora: www.dieta-milagro.com
1,"Crédito aprobado de $50,000. Solicita ahora sin requisitos."
0,"Te envié el archivo por correo, revísalo cuando puedas."
0,Gracias por tu ayuda en el trabajo. Eres un gran compañero.
0,"Te envié el archivo por correo, revísalo cuando puedas."
0,"Mamá, ¿puedo pasar a verte esta tarde?"
1,Tu cuenta ha sido bloqueada. Verifica tus datos aquí: phishing.com
1,Gana dinero fácil desde casa sin esfuerzo. Consulta aquí.
1,Oferta limitada: Compra 1 y llévate 2 gratis en nuestro sitio web.
1,Baja 10 kg en 2 semanas sin esfuerzo. Compra ahora: www.dieta-milagro.com
0,"Mañana es el partido de fútbol, nos vemos en la cancha a las 7 PM."
0,"Mañana es el partido de fútbol, nos vemos en la cancha a las 7 PM."
0,"Mañana es el partido de fútbol, nos vemos en la cancha a las 7 PM."
1,Recarga tu saldo y recibe el doble de crédito. Solo por hoy.
0,Gracias por tu ayuda en el trabajo. Eres un gran compañero.
1,Baja 10 kg en 2 semanas sin esfuerzo. Compra ahora: www.dieta-milagro.com
1,Baja 10 kg en 2 semanas sin esfuerzo. Compra ahora: www.dieta-milagro.com
1,No pagues más intereses. Te reducimos la deuda sin costo.
0,Gracias por tu ayuda en el trabajo. Eres un gran compañero.
0,"Feliz cumpleaños, amigo. Espero que tengas un día increíble."
1,Oferta limitada: Compra 1 y llévate 2 gratis en nuestro sitio web.
0,"Hola, ¿cómo estás? Hace tiempo que no hablamos."
1,Eres el ganador de un premio sorpresa. Reclámalo aquí: www.premiosfalsos.com
1,Oferta limitada: Compra 1 y llévate 2 gratis en nuestro sitio web.
1,Gana dinero fácil desde casa sin esfuerzo. Consulta aquí.
0,"Hoy tenemos clase de matemáticas a las 3 PM, no olvides el libro."
1,No pagues más intereses. Te reducimos la deuda sin costo.
0,Reunión confirmada para mañana a las 10 AM en la oficina.
1,¡Gana un iPhone 14 ahora! Solo responde con 'SÍ' y participa.
0,"Hoy tenemos clase de matemáticas a las 3 PM, no olvides el libro."
0,"Hoy tenemos clase de matemáticas a las 3 PM, no olvides el libro."
1,"Crédito aprobado de $50,000. Solicita ahora sin requisitos."
0,"Mañana es el partido de fútbol, nos vemos en la cancha a las 7 PM."
1,Baja 10 kg en 2 semanas sin esfuerzo. Compra ahora: www.dieta-milagro.com
1,Oferta limitada: Compra 1 y llévate 2 gratis en nuestro sitio web.
0,¿Vienes al cine esta noche? Hay una película interesante.
0,Gracias por tu ayuda en el trabajo. Eres un gran compañero.
0,"Mañana es el partido de fútbol, nos vemos en la cancha a las 7 PM."
1,Baja 10 kg en 2 semanas sin esfuerzo. Compra ahora: www.dieta-milagro.com
1,No pagues más intereses. Te reducimos la deuda sin costo.
0,Recuerda que tienes una cita con el doctor el viernes a las 3 PM.
1,¡Gana un iPhone 14 ahora! Solo responde con 'SÍ' y participa.
0,Reunión confirmada para mañana a las 10 AM en la oficina.
1,Oferta limitada: Compra 1 y llévate 2 gratis en nuestro sitio web.
0,"Feliz cumpleaños, amigo. Espero que tengas un día increíble."
0,Gracias por tu ayuda en el trabajo. Eres un gran compañero.
0,Reunión confirmada para mañana a las 10 AM en la oficina.
0,¿Vienes al cine esta noche? Hay una película interesante.
0,Recuerda que tienes una cita con el doctor el viernes a las 3 PM.
1,¡Gana un iPhone 14 ahora! Solo responde con 'SÍ' y participa.
0,"Hoy tenemos clase de matemáticas a las 3 PM, no olvides el libro."
1,Eres el ganador de un premio sorpresa. Reclámalo aquí: www.premiosfalsos.com
1,Eres el ganador de un premio sorpresa. Reclámalo aquí: www.premiosfalsos.com
0,"Hola, ¿cómo estás? Hace tiempo que no hablamos."
0,"Feliz cumpleaños, amigo. Espero que tengas un día increíble."
1,Tu cuenta ha sido bloqueada. Verifica tus datos aquí: phishing.com
1,No pagues más intereses. Te reducimos la deuda sin costo.
0,Recuerda que tienes una cita con el doctor el viernes a las 3 PM.
0,Recuerda que tienes una cita con el doctor el viernes a las 3 PM.
0,"Mañana es el partido de fútbol, nos vemos en la cancha a las 7 PM."
0,"Te envié el archivo por correo, revísalo cuando puedas."
1,Tu cuenta ha sido bloqueada. Verifica tus datos aquí: phishing.com
1,Tu cuenta ha sido bloqueada. Verifica tus datos aquí: phishing.com
0,"Mamá, ¿puedo pasar a verte esta tarde?"
1,Tu cuenta ha sido bloqueada. Verifica tus datos aquí: phishing.com
1,Tu cuenta ha sido bloqueada. Verifica tus datos aquí: phishing.com
1,"Crédito aprobado de $50,000. Solicita ahora sin requisitos."
1,"Crédito aprobado de $50,000. Solicita ahora sin requisitos."
0,Recuerda que tienes una cita con el doctor el viernes a las 3 PM.
1,Recarga tu saldo y recibe el doble de crédito. Solo por hoy.
0,"Hola, ¿cómo estás? Hace tiempo que no hablamos."
0,"Feliz cumpleaños, amigo. Espero que tengas un día increíble."
1,Tu cuenta ha sido bloqueada. Verifica tus datos aquí: phishing.com
0,"Mamá, ¿puedo pasar a verte esta tarde?"
0,¿Vienes al cine esta noche? Hay una película interesante.
0,Recuerda que tienes una cita con el doctor el viernes a las 3 PM.
0,Reunión confirmada para mañana a las 10 AM en la oficina.
0,"Mañana es el partido de fútbol, nos vemos en la cancha a las 7 PM."
0,Gracias por tu ayuda en el trabajo. Eres un gran compañero.
1,Haz clic en este enlace y descubre tu sorpresa secreta.
1,Haz clic en este enlace y descubre tu sorpresa secreta.
1,No pagues más intereses. Te reducimos la deuda sin costo.
0,¿Vienes al cine esta noche? Hay una película interesante.
1,¡Gana un iPhone 14 ahora! Solo responde con 'SÍ' y participa.
0,"Hoy tenemos clase de matemáticas a las 3 PM, no olvides el libro."
0,"Mañana es el partido de fútbol, nos vemos en la cancha a las 7 PM."
0,Gracias por tu ayuda en el trabajo. Eres un gran compañero.
1,Haz clic en este enlace y descubre tu sorpresa secreta.
1,Baja 10 kg en 2 semanas sin esfuerzo. Compra ahora: www.dieta-milagro.com
0,Gracias por tu ayuda en el trabajo. Eres un gran compañero.
1,Haz clic en este enlace y descubre tu sorpresa secreta.
0,"Feliz cumpleaños, amigo. Espero que tengas un día increíble."
0,"Hola, ¿cómo estás? Hace tiempo que no hablamos."
0,"Feliz cumpleaños, amigo. Espero que tengas un día increíble."
0,"Feliz cumpleaños, amigo. Espero que tengas un día increíble."
0,"Mañana es el partido de fútbol, nos vemos en la cancha a las 7 PM."
0,"Hoy tenemos clase de matemáticas a las 3 PM, no olvides el libro."
0,"Te envié el archivo por correo, revísalo cuando puedas."
1,Tu cuenta ha sido bloqueada. Verifica tus datos aquí: phishing.com
1,¡Gana un iPhone 14 ahora! Solo responde con 'SÍ' y participa.
1,Baja 10 kg en 2 semanas sin esfuerzo. Compra ahora: www.dieta-milagro.com
0,Reunión confirmada para mañana a las 10 AM en la oficina.
1,Oferta limitada: Compra 1 y llévate 2 gratis en nuestro sitio web.
0,"Feliz cumpleaños, amigo. Espero que tengas un día increíble."
0,"Hoy tenemos clase de matemáticas a las 3 PM, no olvides el libro."
0,"Te envié el archivo por correo, revísalo cuando puedas."
0,¿Vienes al cine esta noche? Hay una película interesante.
0,"Hola, ¿cómo estás? Hace tiempo que no hablamos."
1,Haz clic en este enlace y descubre tu sorpresa secreta.
1,Recarga tu saldo y recibe el doble de crédito. Solo por hoy.
1,Haz clic en este enlace y descubre tu sorpresa secreta.
0,Gracias por tu ayuda en el trabajo. Eres un gran compañero.
0,Gracias por tu ayuda en el trabajo. Eres un gran compañero.
0,Recuerda que tienes una cita con el doctor el viernes a las 3 PM.
0,Recuerda que tienes una cita con el doctor el viernes a las 3 PM.
1,No pagues más intereses. Te reducimos la deuda sin costo.
0,"Te envié el archivo por correo, revísalo cuando puedas."
1,Oferta limitada: Compra 1 y llévate 2 gratis en nuestro sitio web.
1,¡Gana un iPhone 14 ahora! Solo responde con 'SÍ' y participa.
0,"Feliz cumpleaños, amigo. Espero que tengas un día increíble."
0,¿Vienes al cine esta noche? Hay una película interesante.
1,Haz clic en este enlace y descubre tu sorpresa secreta.
1,"Crédito aprobado de $50,000. Solicita ahora sin requisitos."
1,Eres el ganador de un premio sorpresa. Reclámalo aquí: www.premiosfalsos.com
1,¡Gana un iPhone 14 ahora! Solo responde con 'SÍ' y participa.
0,"Feliz cumpleaños, amigo. Espero que tengas un día increíble."
1,"Crédito aprobado de $50,000. Solicita ahora sin requisitos."
1,Gana dinero fácil desde casa sin esfuerzo. Consulta aquí.
1,Gana dinero fácil desde casa sin esfuerzo. Consulta aquí.
0,Gracias por tu ayuda en el trabajo. Eres un gran compañero.
0,¿Vienes al cine esta noche? Hay una película interesante.
0,Recuerda que tienes una cita con el doctor el viernes a las 3 PM.
0,Gracias por tu ayuda en el trabajo. Eres un gran compañero.
0,"Hola, ¿cómo estás? Hace tiempo que no hablamos."
0,"Hoy tenemos clase de matemáticas a las 3 PM, no olvides el libro."
1,¡Gana un iPhone 14 ahora! Solo responde con 'SÍ' y participa.
0,¿Vienes al cine esta noche? Hay una película interesante.
0,Gracias por tu ayuda en el trabajo. Eres un gran compañero.
1,Recarga tu saldo y recibe el doble de crédito. Solo por hoy.
0,¿Vienes al cine esta noche? Hay una película interesante.
0,"Mamá, ¿puedo pasar a verte esta tarde?"
0,"Hoy tenemos clase de matemáticas a las 3 PM, no olvides el libro."
0,¿Vienes al cine esta noche? Hay una película interesante.
0,"Hola, ¿cómo estás? Hace tiempo que no hablamos."
1,¡Gana un iPhone 14 ahora! Solo responde con 'SÍ' y participa.
0,"Hoy tenemos clase de matemáticas a las 3 PM, no olvides el libro."
0,"Hola, ¿cómo estás? Hace tiempo que no hablamos."
1,Oferta limitada: Compra 1 y llévate 2 gratis en nuestro sitio web.
0,¿Vienes al cine esta noche? Hay una película interesante.
0,Gracias por tu ayuda en el trabajo. Eres un gran compañero.
0,"Mamá, ¿puedo pasar a verte esta tarde?"
1,No pagues más intereses. Te reducimos la deuda sin costo.
0,"Mañana es el partido de fútbol, nos vemos en la cancha a las 7 PM."
0,"Feliz cumpleaños, amigo. Espero que tengas un día increíble."
1,No pagues más intereses. Te reducimos la deuda sin costo.
1,¡Gana un iPhone 14 ahora! Solo responde con 'SÍ' y participa.
1,"Crédito aprobado de $50,000. Solicita ahora sin requisitos."
1,Oferta limitada: Compra 1 y llévate 2 gratis en nuestro sitio web.
0,"Mañana es el partido de fútbol, nos vemos en la cancha a las 7 PM."
0,"Hoy tenemos clase de matemáticas a las 3 PM, no olvides el libro."
0,Reunión confirmada para mañana a las 10 AM en la oficina.
1,¡Gana un iPhone 14 ahora! Solo responde con 'SÍ' y participa.
0,¿Vienes al cine esta noche? Hay una película interesante.
0,"Te envié el archivo por correo, revísalo cuando puedas."
1,Haz clic en este enlace y descubre tu sorpresa secreta.
1,Tu cuenta ha sido bloqueada. Verifica tus datos aquí: phishing.com
0,"Mamá, ¿puedo pasar a verte esta tarde?"
0,"Hoy tenemos clase de matemáticas a las 3 PM, no olvides el libro."
0,Gracias por tu ayuda en el trabajo. Eres un gran compañero.
1,Oferta limitada: Compra 1 y llévate 2 gratis en nuestro sitio web.
1,Oferta limitada: Compra 1 y llévate 2 gratis en nuestro sitio web.
0,"Hoy tenemos clase de matemáticas a las 3 PM, no olvides el libro."
1,No pagues más intereses. Te reducimos la deuda sin costo.
1,Oferta limitada: Compra 1 y llévate 2 gratis en nuestro sitio web.
0,"Feliz cumpleaños, amigo. Espero que tengas un día increíble."
0,Gracias por tu ayuda en el trabajo. Eres un gran compañero.
1,Gana dinero fácil desde casa sin esfuerzo. Consulta aquí.
0,Reunión confirmada para mañana a las 10 AM en la oficina.
1,Baja 10 kg en 2 semanas sin esfuerzo. Compra ahora: www.dieta-milagro.com
1,¡Gana un iPhone 14 ahora! Solo responde con 'SÍ' y participa.
0,Recuerda que tienes una cita con el doctor el viernes a las 3 PM.
1,Baja 10 kg en 2 semanas sin esfuerzo. Compra ahora: www.dieta-milagro.com
0,Gracias por tu ayuda en el trabajo. Eres un gran compañero.
0,"Mañana es el partido de fútbol, nos vemos en la cancha a las 7 PM."
1,Gana dinero fácil desde casa sin esfuerzo. Consulta aquí.
1,Oferta limitada: Compra 1 y llévate 2 gratis en nuestro sitio web.
0,"Mañana es el partido de fútbol, nos vemos en la cancha a las 7 PM."
0,"Hoy tenemos clase de matemáticas a las 3 PM, no olvides el libro."
0,Gracias por tu ayuda en el trabajo. Eres un gran compañero.
1,No pagues más intereses. Te reducimos la deuda sin costo.
0,"Hola, ¿cómo estás? Hace tiempo que no hablamos."
1,¡Gana un iPhone 14 ahora! Solo responde con 'SÍ' y participa.
0,"Mañana es el partido de fútbol, nos vemos en la cancha a las 7 PM."
0,"Feliz cumpleaños, amigo. Espero que tengas un día increíble."
0,"Te envié el archivo por correo, revísalo cuando puedas."
1,Oferta limitada: Compra 1 y llévate 2 gratis en nuestro sitio web.
